CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/367.py
MEM 4.019531 1745294945.9423
MEM 4.019531 1745294945.9435
MEM 4.503906 1745294945.9447
MEM 4.660156 1745294945.9458
MEM 4.660156 1745294945.9470
MEM 4.816406 1745294945.9481
MEM 5.707031 1745294945.9493
MEM 6.410156 1745294945.9504
MEM 6.410156 1745294945.9516
MEM 6.566406 1745294945.9532
MEM 6.566406 1745294945.9543
MEM 7.066406 1745294945.9555
MEM 7.066406 1745294945.9566
MEM 7.222656 1745294945.9578
MEM 7.222656 1745294945.9589
MEM 7.222656 1745294945.9600
MEM 7.222656 1745294945.9612
MEM 7.558594 1745294945.9623
MEM 7.558594 1745294945.9634
MEM 7.746094 1745294945.9646
MEM 7.746094 1745294945.9657
MEM 8.089844 1745294945.9669
MEM 8.089844 1745294945.9680
MEM 8.089844 1745294945.9691
MEM 8.402344 1745294945.9703
MEM 8.402344 1745294945.9715
MEM 8.402344 1745294945.9727
MEM 8.714844 1745294945.9775
MEM 8.714844 1745294945.9787
MEM 8.871094 1745294945.9799
MEM 8.871094 1745294945.9811
MEM 8.871094 1745294945.9825
MEM 8.871094 1745294945.9837
MEM 9.027344 1745294945.9848
MEM 9.027344 1745294945.9860
MEM 9.027344 1745294945.9871
MEM 9.027344 1745294945.9883
MEM 9.339844 1745294945.9894
MEM 9.339844 1745294945.9906
MEM 9.496094 1745294945.9918
MEM 9.496094 1745294945.9930
MEM 9.496094 1745294945.9943
MEM 9.652344 1745294945.9954
MEM 9.652344 1745294945.9966
MEM 9.808594 1745294945.9977
MEM 9.808594 1745294945.9988
MEM 9.808594 1745294946.0000
MEM 9.964844 1745294946.0068
MEM 9.964844 1745294946.0080
MEM 9.964844 1745294946.0092
MEM 9.964844 1745294946.0104
MEM 10.128906 1745294946.0116
MEM 10.128906 1745294946.0128
MEM 10.128906 1745294946.0140
MEM 10.128906 1745294946.0151
MEM 10.128906 1745294946.0163
MEM 10.128906 1745294946.0174
MEM 10.285156 1745294946.0185
MEM 10.285156 1745294946.0197
MEM 10.441406 1745294946.0208
MEM 10.441406 1745294946.0219
MEM 10.441406 1745294946.0230
MEM 10.441406 1745294946.0242
MEM 10.597656 1745294946.0253
MEM 10.597656 1745294946.0264
MEM 10.941406 1745294946.0276
MEM 11.097656 1745294946.0287
MEM 11.097656 1745294946.0299
MEM 11.097656 1745294946.0310
MEM 11.097656 1745294946.0321
MEM 11.097656 1745294946.0333
MEM 11.097656 1745294946.0345
MEM 11.425781 1745294946.0356
MEM 11.894531 1745294946.0407
MEM 13.734375 1745294946.0418
MEM 14.394531 1745294946.0430
MEM 14.707031 1745294946.0442
MEM 14.707031 1745294946.0454
MEM 15.054688 1745294946.0466
MEM 15.453125 1745294946.0477
MEM 15.765625 1745294946.0489
MEM 15.921875 1745294946.0501
MEM 16.078125 1745294946.0515
MEM 16.390625 1745294946.0566
MEM 16.390625 1745294946.0578
MEM 16.546875 1745294946.0590
MEM 16.546875 1745294946.0601
MEM 16.703125 1745294946.0613
MEM 16.867188 1745294946.0625
MEM 16.867188 1745294946.0637
