CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Gemini-2Flash/744.py
MEM 5.023438 1745294911.3373
MEM 5.210938 1745294911.3387
MEM 5.210938 1745294911.3416
MEM 5.210938 1745294911.3428
MEM 5.210938 1745294911.3440
MEM 5.761719 1745294911.3452
MEM 6.628906 1745294911.3463
MEM 6.949219 1745294911.3475
MEM 7.105469 1745294911.3487
MEM 7.105469 1745294911.3499
MEM 7.105469 1745294911.3510
MEM 7.105469 1745294911.3522
MEM 7.281250 1745294911.3534
MEM 7.996094 1745294911.3555
MEM 8.152344 1745294911.3567
MEM 8.308594 1745294911.3578
MEM 8.621094 1745294911.3590
MEM 8.933594 1745294911.3602
MEM 8.933594 1745294911.3614
MEM 9.402344 1745294911.3635
MEM 9.558594 1745294911.3647
MEM 9.558594 1745294911.3658
MEM 9.558594 1745294911.3670
MEM 9.558594 1745294911.3681
MEM 9.558594 1745294911.3693
MEM 9.558594 1745294911.3705
MEM 9.558594 1745294911.3717
MEM 9.558594 1745294911.3745
MEM 9.714844 1745294911.3757
MEM 9.714844 1745294911.3769
MEM 9.871094 1745294911.3781
MEM 10.027344 1745294911.3792
MEM 10.027344 1745294911.3804
MEM 10.027344 1745294911.3815
MEM 10.027344 1745294911.3827
MEM 10.027344 1745294911.3839
MEM 10.027344 1745294911.3850
MEM 10.183594 1745294911.3862
MEM 10.183594 1745294911.3874
MEM 10.339844 1745294911.3886
MEM 10.496094 1745294911.3925
MEM 10.496094 1745294911.3937
MEM 10.496094 1745294911.3949
MEM 10.652344 1745294911.3961
MEM 10.652344 1745294911.3973
MEM 10.964844 1745294911.3984
MEM 10.964844 1745294911.3996
MEM 10.964844 1745294911.4007
MEM 10.964844 1745294911.4018
MEM 10.964844 1745294911.4030
MEM 11.121094 1745294911.4041
MEM 11.437500 1745294911.4054
MEM 11.437500 1745294911.4065
MEM 11.906250 1745294911.4077
MEM 11.906250 1745294911.4088
MEM 13.664062 1745294911.4100
MEM 14.480469 1745294911.4112
MEM 14.636719 1745294911.4124
MEM 14.636719 1745294911.4136
MEM 14.792969 1745294911.4147
MEM 15.480469 1745294911.4159
MEM 16.105469 1745294911.4196
MEM 16.105469 1745294911.4208
MEM 16.261719 1745294911.4220
MEM 16.261719 1745294911.4231
MEM 16.417969 1745294911.4243
MEM 16.417969 1745294911.4254
MEM 16.574219 1745294911.4266
MEM 16.574219 1745294911.4278
MEM 16.730469 1745294911.4289
MEM 16.730469 1745294911.4301
MEM 16.730469 1745294911.4312
MEM 16.730469 1745294911.4324
MEM 16.730469 1745294911.4335
MEM 16.730469 1745294911.4347
MEM 16.886719 1745294911.4359
MEM 17.042969 1745294911.4371
MEM 17.199219 1745294911.4382
MEM 17.511719 1745294911.4394
MEM 17.511719 1745294911.4405
MEM 17.511719 1745294911.4417
MEM 17.667969 1745294911.4456
MEM 17.824219 1745294911.4468
MEM 17.980469 1745294911.4479
MEM 18.136719 1745294911.4491
MEM 18.449219 1745294911.4502
MEM 18.449219 1745294911.4514
MEM 18.605469 1745294911.4526
MEM 18.761719 1745294911.4537
MEM 18.761719 1745294911.4548
MEM 18.917969 1745294911.4560
MEM 19.457031 1745294911.4571
MEM 19.457031 1745294911.4583
MEM 19.457031 1745294911.4594
MEM 19.613281 1745294911.4606
MEM 19.769531 1745294911.4618
MEM 19.769531 1745294911.4630
MEM 19.769531 1745294911.4641
MEM 20.085938 1745294911.4653
MEM 20.242188 1745294911.4665
MEM 20.242188 1745294911.4676
MEM 20.398438 1745294911.4688
MEM 20.398438 1745294911.4700
MEM 20.554688 1745294911.4712
MEM 20.554688 1745294911.4735
MEM 20.710938 1745294911.4747
MEM 21.191406 1745294911.4758
MEM 21.191406 1745294911.4771
MEM 21.347656 1745294911.4782
MEM 21.503906 1745294911.4794
MEM 21.660156 1745294911.4805
MEM 21.816406 1745294911.4817
MEM 21.972656 1745294911.4829
MEM 22.285156 1745294911.4840
MEM 22.285156 1745294911.4852
MEM 22.285156 1745294911.4864
MEM 22.285156 1745294911.4875
MEM 22.285156 1745294911.4887
MEM 22.441406 1745294911.4898
MEM 22.441406 1745294911.4910
MEM 22.753906 1745294911.4922
MEM 23.222656 1745294911.4945
MEM 23.378906 1745294911.4956
MEM 23.378906 1745294911.4968
MEM 23.691406 1745294911.4980
MEM 23.691406 1745294911.4992
MEM 23.691406 1745294911.5003
MEM 23.691406 1745294911.5026
MEM 23.847656 1745294911.5038
MEM 24.003906 1745294911.5050
MEM 24.316406 1745294911.5061
MEM 24.472656 1745294911.5073
MEM 24.472656 1745294911.5085
MEM 24.472656 1745294911.5097
MEM 24.628906 1745294911.5108
MEM 24.628906 1745294911.5120
MEM 24.953125 1745294911.5132
MEM 25.109375 1745294911.5143
MEM 25.109375 1745294911.5157
MEM 25.109375 1745294911.5185
MEM 25.265625 1745294911.5201
MEM 25.265625 1745294911.5214
MEM 25.265625 1745294911.5226
MEM 25.265625 1745294911.5237
MEM 25.578125 1745294911.5249
MEM 25.890625 1745294911.5275
MEM 25.890625 1745294911.5286
MEM 26.046875 1745294911.5298
MEM 26.046875 1745294911.5309
MEM 26.046875 1745294911.5321
MEM 26.203125 1745294911.5333
MEM 26.359375 1745294911.5346
MEM 26.515625 1745294911.5358
MEM 26.515625 1745294911.5371
MEM 26.515625 1745294911.5383
MEM 26.671875 1745294911.5425
MEM 26.828125 1745294911.5436
MEM 26.828125 1745294911.5448
MEM 26.984375 1745294911.5460
MEM 26.984375 1745294911.5471
MEM 26.984375 1745294911.5483
MEM 27.140625 1745294911.5494
MEM 27.140625 1745294911.5506
MEM 27.296875 1745294911.5518
MEM 27.296875 1745294911.5529
MEM 27.453125 1745294911.5541
MEM 27.609375 1745294911.5552
MEM 27.941406 1745294911.5605
MEM 28.097656 1745294911.5616
MEM 28.097656 1745294911.5628
MEM 28.097656 1745294911.5640
MEM 28.097656 1745294911.5651
MEM 28.253906 1745294911.5663
MEM 28.253906 1745294911.5674
MEM 28.253906 1745294911.5686
MEM 28.253906 1745294911.5698
MEM 28.410156 1745294911.5709
MEM 28.410156 1745294911.5721
MEM 28.410156 1745294911.5733
MEM 28.722656 1745294911.5744
MEM 28.878906 1745294911.5756
MEM 29.035156 1745294911.5768
MEM 29.035156 1745294911.5779
MEM 29.191406 1745294911.5791
MEM 29.191406 1745294911.5803
MEM 29.191406 1745294911.5815
MEM 29.191406 1745294911.5826
MEM 30.421875 1745294911.5838
MEM 31.175781 1745294911.5850
MEM 31.355469 1745294911.5861
MEM 31.511719 1745294911.5873
MEM 31.511719 1745294911.5885
MEM 31.511719 1745294911.5897
MEM 31.667969 1745294911.5908
MEM 31.824219 1745294911.5920
MEM 31.980469 1745294911.5931
MEM 32.136719 1745294911.5943
MEM 32.292969 1745294911.5955
MEM 32.605469 1745294911.5966
MEM 32.605469 1745294911.5978
MEM 32.761719 1745294911.5989
MEM 32.917969 1745294911.6001
MEM 33.074219 1745294911.6012
MEM 33.230469 1745294911.6024
MEM 33.230469 1745294911.6038
MEM 33.230469 1745294911.6065
MEM 33.230469 1745294911.6076
MEM 33.542969 1745294911.6088
MEM 33.699219 1745294911.6100
MEM 33.699219 1745294911.6111
MEM 33.855469 1745294911.6123
MEM 33.855469 1745294911.6135
MEM 33.855469 1745294911.6146
MEM 33.855469 1745294911.6158
MEM 33.855469 1745294911.6169
MEM 34.011719 1745294911.6181
MEM 34.011719 1745294911.6192
MEM 35.082031 1745294911.6235
