CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Human/1439.py
MEM 4.210938 1745297048.3008
MEM 5.007812 1745297048.3020
MEM 5.371094 1745297048.3032
MEM 5.371094 1745297048.3043
MEM 5.371094 1745297048.3055
MEM 6.445312 1745297048.3066
MEM 6.757812 1745297048.3078
MEM 7.257812 1745297048.3090
MEM 7.257812 1745297048.3101
MEM 7.257812 1745297048.3113
MEM 7.257812 1745297048.3125
MEM 7.257812 1745297048.3136
MEM 7.414062 1745297048.3148
MEM 8.125000 1745297048.3185
MEM 8.125000 1745297048.3196
MEM 8.125000 1745297048.3208
MEM 8.281250 1745297048.3220
MEM 8.437500 1745297048.3231
MEM 8.750000 1745297048.3243
MEM 8.750000 1745297048.3255
MEM 8.750000 1745297048.3266
MEM 8.750000 1745297048.3278
MEM 8.750000 1745297048.3289
MEM 8.906250 1745297048.3304
MEM 9.062500 1745297048.3316
MEM 9.375000 1745297048.3328
MEM 9.375000 1745297048.3339
MEM 9.375000 1745297048.3351
MEM 9.375000 1745297048.3363
MEM 9.375000 1745297048.3374
MEM 9.687500 1745297048.3415
MEM 9.687500 1745297048.3427
MEM 9.687500 1745297048.3438
MEM 9.687500 1745297048.3450
MEM 10.000000 1745297048.3462
MEM 10.000000 1745297048.3474
MEM 10.000000 1745297048.3486
MEM 10.000000 1745297048.3498
MEM 10.000000 1745297048.3509
MEM 10.000000 1745297048.3521
MEM 10.328125 1745297048.3533
MEM 10.484375 1745297048.3544
MEM 10.644531 1745297048.3556
MEM 10.644531 1745297048.3568
MEM 10.644531 1745297048.3579
MEM 10.644531 1745297048.3591
MEM 10.800781 1745297048.3602
MEM 11.113281 1745297048.3614
MEM 11.113281 1745297048.3626
MEM 11.296875 1745297048.3638
MEM 11.453125 1745297048.3649
MEM 11.617188 1745297048.3661
MEM 11.929688 1745297048.3673
MEM 13.812500 1745297048.3695
MEM 14.628906 1745297048.3707
MEM 14.785156 1745297048.3718
MEM 14.785156 1745297048.3730
MEM 15.535156 1745297048.3742
MEM 16.003906 1745297048.3753
MEM 16.160156 1745297048.3765
MEM 16.316406 1745297048.3776
MEM 16.628906 1745297048.3805
MEM 16.628906 1745297048.3817
MEM 16.785156 1745297048.3829
MEM 16.949219 1745297048.3840
MEM 16.949219 1745297048.3852
MEM 17.105469 1745297048.3864
MEM 17.261719 1745297048.3876
MEM 17.574219 1745297048.3887
MEM 17.730469 1745297048.3899
MEM 17.730469 1745297048.3911
MEM 17.730469 1745297048.3922
MEM 17.730469 1745297048.3934
MEM 17.730469 1745297048.3946
MEM 17.730469 1745297048.3958
MEM 18.042969 1745297048.3985
MEM 18.355469 1745297048.3997
MEM 18.355469 1745297048.4008
MEM 18.355469 1745297048.4020
MEM 18.355469 1745297048.4032
MEM 18.355469 1745297048.4044
MEM 18.667969 1745297048.4056
MEM 18.667969 1745297048.4067
MEM 18.824219 1745297048.4079
MEM 18.824219 1745297048.4090
MEM 18.824219 1745297048.4102
MEM 18.980469 1745297048.4114
MEM 19.484375 1745297048.4135
MEM 19.484375 1745297048.4147
MEM 19.484375 1745297048.4159
MEM 19.484375 1745297048.4170
MEM 19.484375 1745297048.4182
MEM 19.640625 1745297048.4194
MEM 19.640625 1745297048.4205
MEM 19.640625 1745297048.4217
MEM 19.640625 1745297048.4245
MEM 19.796875 1745297048.4256
MEM 20.304688 1745297048.4268
MEM 20.460938 1745297048.4280
MEM 20.460938 1745297048.4292
MEM 20.460938 1745297048.4304
MEM 20.460938 1745297048.4316
MEM 20.460938 1745297048.4328
MEM 20.460938 1745297048.4340
MEM 20.460938 1745297048.4351
MEM 20.460938 1745297048.4371
MEM 20.460938 1745297048.4383
MEM 20.460938 1745297048.4394
MEM 20.617188 1745297048.4405
MEM 20.617188 1745297048.4417
MEM 20.617188 1745297048.4428
MEM 20.617188 1745297048.4475
MEM 20.617188 1745297048.4488
MEM 20.617188 1745297048.4499
MEM 20.773438 1745297048.4511
MEM 20.929688 1745297048.4522
MEM 20.929688 1745297048.4533
MEM 20.929688 1745297048.4544
MEM 20.929688 1745297048.4556
MEM 20.929688 1745297048.4567
MEM 20.929688 1745297048.4579
MEM 21.085938 1745297048.4591
MEM 21.085938 1745297048.4602
MEM 21.242188 1745297048.4614
MEM 21.242188 1745297048.4626
MEM 21.554688 1745297048.4638
MEM 22.179688 1745297048.4695
MEM 22.179688 1745297048.4707
MEM 22.179688 1745297048.4718
MEM 22.179688 1745297048.4730
MEM 22.179688 1745297048.4741
MEM 22.335938 1745297048.4753
MEM 22.492188 1745297048.4764
MEM 22.492188 1745297048.4775
MEM 22.804688 1745297048.4787
MEM 22.804688 1745297048.4798
MEM 23.117188 1745297048.4809
MEM 23.273438 1745297048.4821
MEM 23.273438 1745297048.4832
MEM 23.429688 1745297048.4843
MEM 23.585938 1745297048.4854
MEM 23.585938 1745297048.4866
MEM 23.585938 1745297048.4877
MEM 23.742188 1745297048.4888
MEM 23.742188 1745297048.4900
MEM 23.742188 1745297048.4912
MEM 23.742188 1745297048.4923
MEM 23.898438 1745297048.4935
MEM 24.523438 1745297048.4975
MEM 24.523438 1745297048.4986
MEM 24.523438 1745297048.4998
MEM 24.679688 1745297048.5010
MEM 24.871094 1745297048.5021
MEM 25.027344 1745297048.5034
MEM 25.027344 1745297048.5045
MEM 25.027344 1745297048.5057
MEM 25.183594 1745297048.5068
MEM 25.183594 1745297048.5080
MEM 25.183594 1745297048.5092
MEM 25.183594 1745297048.5104
MEM 25.339844 1745297048.5115
MEM 25.972656 1745297048.5155
MEM 26.128906 1745297048.5167
MEM 26.128906 1745297048.5179
MEM 26.285156 1745297048.5191
MEM 26.441406 1745297048.5202
MEM 26.441406 1745297048.5214
MEM 26.597656 1745297048.5226
MEM 26.597656 1745297048.5238
MEM 26.753906 1745297048.5249
MEM 27.066406 1745297048.5295
MEM 27.066406 1745297048.5307
MEM 27.066406 1745297048.5318
MEM 27.066406 1745297048.5330
MEM 27.222656 1745297048.5342
MEM 27.222656 1745297048.5354
MEM 27.222656 1745297048.5365
MEM 27.378906 1745297048.5377
MEM 27.378906 1745297048.5389
MEM 27.535156 1745297048.5401
MEM 27.691406 1745297048.5412
MEM 27.859375 1745297048.5424
MEM 28.171875 1745297048.5485
MEM 28.171875 1745297048.5496
MEM 28.171875 1745297048.5508
MEM 28.171875 1745297048.5520
MEM 28.328125 1745297048.5531
MEM 28.328125 1745297048.5543
MEM 28.328125 1745297048.5555
MEM 28.328125 1745297048.5566
MEM 28.484375 1745297048.5578
MEM 28.484375 1745297048.5590
MEM 28.953125 1745297048.5602
MEM 28.953125 1745297048.5613
MEM 29.109375 1745297048.5625
MEM 29.109375 1745297048.5636
MEM 29.109375 1745297048.5648
MEM 29.265625 1745297048.5660
MEM 29.265625 1745297048.5672
MEM 29.265625 1745297048.5683
MEM 29.265625 1745297048.5695
MEM 31.585938 1745297048.5735
MEM 31.585938 1745297048.5746
MEM 31.585938 1745297048.5758
