CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/canonical_solution/69.py
MEM 5.761719 1745297045.9328
MEM 6.628906 1745297045.9342
MEM 7.105469 1745297045.9356
MEM 7.281250 1745297045.9367
MEM 7.621094 1745297045.9379
MEM 8.152344 1745297045.9391
MEM 8.152344 1745297045.9403
MEM 8.152344 1745297045.9415
MEM 8.152344 1745297045.9435
MEM 8.464844 1745297045.9448
MEM 8.777344 1745297045.9459
MEM 8.933594 1745297045.9506
MEM 8.933594 1745297045.9518
MEM 9.402344 1745297045.9531
MEM 9.558594 1745297045.9543
MEM 9.558594 1745297045.9555
MEM 9.558594 1745297045.9567
MEM 9.558594 1745297045.9580
MEM 9.558594 1745297045.9592
MEM 9.714844 1745297045.9603
MEM 9.871094 1745297045.9614
MEM 10.027344 1745297045.9626
MEM 10.027344 1745297045.9637
MEM 10.027344 1745297045.9650
MEM 10.027344 1745297045.9662
MEM 10.027344 1745297045.9674
MEM 10.027344 1745297045.9685
MEM 10.183594 1745297045.9697
MEM 10.183594 1745297045.9709
MEM 10.183594 1745297045.9723
MEM 10.183594 1745297045.9735
MEM 10.339844 1745297045.9747
MEM 10.550781 1745297045.9758
MEM 11.019531 1745297045.9776
MEM 11.019531 1745297045.9788
MEM 11.019531 1745297045.9800
MEM 11.019531 1745297045.9812
MEM 11.019531 1745297045.9823
MEM 11.359375 1745297045.9834
MEM 11.523438 1745297045.9846
MEM 11.679688 1745297045.9858
MEM 11.679688 1745297045.9871
MEM 11.835938 1745297045.9905
MEM 12.902344 1745297045.9917
MEM 14.066406 1745297045.9930
MEM 14.066406 1745297045.9943
MEM 14.066406 1745297045.9955
MEM 14.691406 1745297045.9967
MEM 14.691406 1745297045.9979
MEM 14.691406 1745297045.9990
MEM 15.750000 1745297046.0044
MEM 15.906250 1745297046.0057
MEM 15.906250 1745297046.0071
MEM 15.906250 1745297046.0084
MEM 16.062500 1745297046.0096
MEM 16.062500 1745297046.0107
MEM 16.218750 1745297046.0119
MEM 16.375000 1745297046.0130
MEM 16.375000 1745297046.0142
MEM 16.375000 1745297046.0158
MEM 16.375000 1745297046.0170
MEM 16.531250 1745297046.0182
MEM 16.531250 1745297046.0193
MEM 16.851562 1745297046.0205
MEM 16.851562 1745297046.0216
MEM 16.851562 1745297046.0230
MEM 16.851562 1745297046.0242
MEM 16.851562 1745297046.0254
MEM 17.007812 1745297046.0265
MEM 17.164062 1745297046.0277
MEM 17.164062 1745297046.0289
MEM 17.164062 1745297046.0313
MEM 17.164062 1745297046.0325
MEM 17.164062 1745297046.0337
MEM 17.476562 1745297046.0348
MEM 17.632812 1745297046.0360
MEM 17.632812 1745297046.0373
MEM 17.632812 1745297046.0406
MEM 17.632812 1745297046.0419
MEM 17.632812 1745297046.0430
MEM 17.789062 1745297046.0442
MEM 17.789062 1745297046.0454
MEM 17.945312 1745297046.0488
MEM 18.257812 1745297046.0505
MEM 18.257812 1745297046.0517
MEM 18.257812 1745297046.0534
MEM 18.257812 1745297046.0547
MEM 18.570312 1745297046.0577
MEM 18.570312 1745297046.0589
MEM 18.570312 1745297046.0600
MEM 18.570312 1745297046.0612
MEM 18.570312 1745297046.0623
MEM 18.726562 1745297046.0635
MEM 18.882812 1745297046.0646
