CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/canonical_solution/878.py
MEM 4.039062 1745297045.9068
MEM 4.847656 1745297045.9081
MEM 6.441406 1745297045.9103
MEM 6.441406 1745297045.9122
MEM 6.441406 1745297045.9134
MEM 6.597656 1745297045.9146
MEM 7.253906 1745297045.9158
MEM 7.253906 1745297045.9169
MEM 7.410156 1745297045.9181
MEM 7.410156 1745297045.9193
MEM 7.410156 1745297045.9205
MEM 7.964844 1745297045.9217
MEM 8.121094 1745297045.9228
MEM 8.433594 1745297045.9275
MEM 8.746094 1745297045.9287
MEM 8.902344 1745297045.9299
MEM 9.214844 1745297045.9311
MEM 9.371094 1745297045.9323
MEM 9.371094 1745297045.9336
MEM 9.371094 1745297045.9348
MEM 9.371094 1745297045.9359
MEM 9.371094 1745297045.9371
MEM 9.371094 1745297045.9383
MEM 9.527344 1745297045.9395
MEM 9.683594 1745297045.9407
MEM 9.683594 1745297045.9419
MEM 9.683594 1745297045.9431
MEM 9.683594 1745297045.9443
MEM 9.683594 1745297045.9454
MEM 9.839844 1745297045.9466
MEM 9.996094 1745297045.9478
MEM 9.996094 1745297045.9490
MEM 9.996094 1745297045.9501
MEM 9.996094 1745297045.9513
MEM 9.996094 1745297045.9525
MEM 10.359375 1745297045.9536
MEM 10.359375 1745297045.9548
MEM 10.359375 1745297045.9559
MEM 10.359375 1745297045.9571
MEM 10.515625 1745297045.9583
MEM 10.671875 1745297045.9596
MEM 10.984375 1745297045.9607
MEM 10.984375 1745297045.9619
MEM 10.984375 1745297045.9631
MEM 10.984375 1745297045.9643
MEM 10.984375 1745297045.9655
MEM 11.140625 1745297045.9666
MEM 11.457031 1745297045.9678
MEM 11.457031 1745297045.9725
MEM 11.457031 1745297045.9737
MEM 11.925781 1745297045.9749
MEM 13.683594 1745297045.9761
MEM 13.683594 1745297045.9773
MEM 13.683594 1745297045.9785
MEM 14.187500 1745297045.9797
MEM 14.656250 1745297045.9808
MEM 14.656250 1745297045.9820
MEM 15.503906 1745297045.9832
MEM 15.503906 1745297045.9844
MEM 15.503906 1745297045.9855
MEM 15.503906 1745297045.9867
MEM 15.503906 1745297045.9879
