CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/gpt-4-turbo/1539.py
MEM 5.628906 1745294932.7528
MEM 6.335938 1745294932.7540
MEM 6.648438 1745294932.7552
MEM 7.148438 1745294932.7564
MEM 7.324219 1745294932.7575
MEM 7.480469 1745294932.7587
MEM 8.199219 1745294932.7598
MEM 8.199219 1745294932.7610
MEM 8.511719 1745294932.7622
MEM 8.667969 1745294932.7634
MEM 8.824219 1745294932.7645
MEM 8.980469 1745294932.7657
MEM 9.292969 1745294932.7669
MEM 9.449219 1745294932.7680
MEM 9.605469 1745294932.7692
MEM 9.761719 1745294932.7704
MEM 9.761719 1745294932.7715
MEM 9.917969 1745294932.7727
MEM 10.074219 1745294932.7739
MEM 10.074219 1745294932.7750
MEM 10.074219 1745294932.7762
MEM 10.230469 1745294932.7774
MEM 10.386719 1745294932.7786
MEM 10.550781 1745294932.7797
MEM 11.019531 1745294932.7818
MEM 11.019531 1745294932.7834
MEM 11.359375 1745294932.7846
MEM 11.359375 1745294932.7858
MEM 11.359375 1745294932.7869
MEM 11.523438 1745294932.7897
MEM 11.679688 1745294932.7909
MEM 12.003906 1745294932.7920
MEM 13.050781 1745294932.7932
MEM 14.222656 1745294932.7944
MEM 14.691406 1745294932.7960
MEM 15.437500 1745294932.7985
MEM 15.906250 1745294932.7997
MEM 16.062500 1745294932.8009
MEM 16.218750 1745294932.8022
MEM 16.375000 1745294932.8034
MEM 16.375000 1745294932.8046
MEM 16.687500 1745294932.8075
MEM 16.851562 1745294932.8087
MEM 16.851562 1745294932.8099
MEM 17.007812 1745294932.8110
MEM 17.164062 1745294932.8122
MEM 17.632812 1745294932.8134
MEM 17.632812 1745294932.8146
MEM 17.632812 1745294932.8158
MEM 17.789062 1745294932.8170
MEM 17.945312 1745294932.8182
MEM 18.257812 1745294932.8194
MEM 18.414062 1745294932.8206
MEM 18.570312 1745294932.8219
MEM 18.570312 1745294932.8231
MEM 18.570312 1745294932.8243
MEM 18.570312 1745294932.8255
MEM 18.570312 1745294932.8267
MEM 18.882812 1745294932.8280
MEM 19.039062 1745294932.8291
MEM 19.039062 1745294932.8316
MEM 19.195312 1745294932.8328
MEM 19.386719 1745294932.8339
MEM 19.542969 1745294932.8351
MEM 19.542969 1745294932.8363
MEM 19.542969 1745294932.8374
MEM 19.542969 1745294932.8394
MEM 19.699219 1745294932.8406
MEM 20.210938 1745294932.8417
MEM 20.367188 1745294932.8436
MEM 20.367188 1745294932.8447
MEM 20.367188 1745294932.8459
MEM 20.367188 1745294932.8471
MEM 20.367188 1745294932.8514
MEM 20.523438 1745294932.8526
MEM 20.523438 1745294932.8537
MEM 20.523438 1745294932.8550
MEM 20.679688 1745294932.8563
MEM 20.679688 1745294932.8575
MEM 20.679688 1745294932.8586
MEM 20.679688 1745294932.8598
MEM 20.835938 1745294932.8609
MEM 21.160156 1745294932.8621
MEM 21.160156 1745294932.8633
MEM 21.160156 1745294932.8646
MEM 21.160156 1745294932.8659
